runbook_id,path,family,handler,profile,required_signals,vulnerable_rule,secure_rule,inconclusive_rule,producer,equivalence_group,fixture_set
API-TOKEN-RESPONSE-LEAK-010,runbooks/token-session/api-token-response-leak-010.yaml,token-session,http,token-response-leak,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/token-response-leak,none,api-token-response-leak-010.json
API-TOKEN-SESSION-FIXATION-004,runbooks/token-session/api-token-session-fixation-004.yaml,token-session,workflow,session-fixation,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/session-fixation,none,api-token-session-fixation-004.json
API-TRANS-CERT-EXPIRY-005,runbooks/transport/api-trans-cert-expiry-005.yaml,transport,tls,certificate-expiry,"A,B,F,T,heartbleed,nmap_script_output,prerequisites_missing,ssl_grade,target_reachable","ssl_grade in {'F','T'} or 'heartbleed' in nmap_script_output","ssl_grade in {'A+','A','B'} and 'heartbleed' not in nmap_script_output",target_reachable == false or prerequisites_missing == true,tls/certificate-expiry,none,api-trans-cert-expiry-005.json
API-TRANS-CERT-HOSTNAME-004,runbooks/transport/api-trans-cert-hostname-004.yaml,transport,tls,certificate-hostname,"A,B,F,T,heartbleed,nmap_script_output,prerequisites_missing,ssl_grade,target_reachable","ssl_grade in {'F','T'} or 'heartbleed' in nmap_script_output","ssl_grade in {'A+','A','B'} and 'heartbleed' not in nmap_script_output",target_reachable == false or prerequisites_missing == true,tls/certificate-hostname,none,api-trans-cert-hostname-004.json
API-TRANS-HSTS-006,runbooks/transport/api-trans-hsts-006.yaml,transport,headers,hsts-missing,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/hsts-missing,none,api-trans-hsts-006.json
API-TRANS-INSECURE-ABSOLUTE-URL-008,runbooks/transport/api-trans-insecure-absolute-url-008.yaml,transport,http,insecure-absolute-urls,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/insecure-absolute-urls,none,api-trans-insecure-absolute-url-008.json
API-TRANS-PLAINTEXT-HTTP-001,runbooks/transport/api-trans-plaintext-http-001.yaml,transport,http,plaintext-http,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/plaintext-http,none,api-trans-plaintext-http-001.json
API-TRANS-REDIRECT-DOWNGRADE-007,runbooks/transport/api-trans-redirect-downgrade-007.yaml,transport,http,redirect-downgrade,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/redirect-downgrade,none,api-trans-redirect-downgrade-007.json
API-TRANS-WEAK-CIPHERS-003,runbooks/transport/api-trans-weak-ciphers-003.yaml,transport,tls,weak-cipher-suites,"A,B,F,T,heartbleed,nmap_script_output,prerequisites_missing,ssl_grade,target_reachable","ssl_grade in {'F','T'} or 'heartbleed' in nmap_script_output","ssl_grade in {'A+','A','B'} and 'heartbleed' not in nmap_script_output",target_reachable == false or prerequisites_missing == true,tls/weak-cipher-suites,none,api-trans-weak-ciphers-003.json
API-TRANS-WEAK-TLS-002,runbooks/transport/api-trans-weak-tls-002.yaml,transport,tls,weak-tls-versions,"A,B,F,T,heartbleed,nmap_script_output,prerequisites_missing,ssl_grade,target_reachable","ssl_grade in {'F','T'} or 'heartbleed' in nmap_script_output","ssl_grade in {'A+','A','B'} and 'heartbleed' not in nmap_script_output",target_reachable == false or prerequisites_missing == true,tls/weak-tls-versions,none,api-trans-weak-tls-002.json
